postcode,price,easting,northing
SW15 3EJ,325000,522048.0,172324.0
SW11 4DD,785000,528535.0,176888.0
SE1 1BH,515000,532400.0,179634.0
SW18 3EL,650000,525968.0,173302.0
SE28 8FU,240000,546876.0,181121.0
SE10 9HW,485000,539495.0,178196.0
SW17 9NE,500000,527507.0,171239.0
SW17 8EF,415000,528337.0,171841.0
SW15 6BZ,310000,523460.0,174641.0
SE8 3ER,950000,537558.0,177836.0
SW12 8AB,730000,528626.0,173895.0
SW12 9NY,450000,529100.0,174185.0
SE1 9DS,1000000,532238.0,180509.0
SW15 3HL,475000,523884.0,174155.0
SE15 4DB,535000,533724.0,175534.0
E1 3FU,460000,535193.0,181305.0
NW7 1TB,565000,523940.0,191717.0
E17 6SN,345000,536144.0,189349.0
N10 1EZ,1307500,527966.0,190891.0
E1 3FU,655000,535193.0,181305.0
E1 3FU,385000,535193.0,181305.0
N17 9LU,520000,534339.0,189556.0
N17 8JF,250000,533216.0,191410.0
N8 9FG,778000,530267.0,188322.0
E14 9GU,133750,537145.0,180048.0
N13 4PS,625000,530713.0,193081.0
E5 8NF,705000,534528.0,186243.0
N20 0FG,933000,526504.0,193807.0
NW9 7FW,550000,521956.0,187861.0
NW6 6SB,450000,524689.0,183286.0
E3 3EG,122500,537865.0,182900.0
NW9 7FX,408000,521956.0,187861.0
W13 8BP,515000,516837.0,180798.0
NW9 7FX,547000,521956.0,187861.0
N20 9FG,565000,526706.0,193938.0
N20 9FG,390000,526706.0,193938.0
NW9 7FX,538000,521956.0,187861.0
NW9 7FW,370000,521956.0,187861.0
N3 2QN,575000,525871.0,190234.0
NW10 8EZ,169050,520920.0,183647.0
E10 5UJ,560000,537884.0,186276.0
NW9 7FW,375500,521956.0,187861.0
NW9 7FX,533000,521956.0,187861.0
NW9 7FW,375000,521956.0,187861.0
NW9 7FX,425000,521956.0,187861.0
E3 3YS,310000,538093.0,182595.0
NW9 7FW,370000,521956.0,187861.0
NW9 7FX,420420,521956.0,187861.0
NW9 7FX,503500,521956.0,187861.0
NW7 1UZ,595000,524179.0,191508.0
NW9 7FX,585000,521956.0,187861.0
N1 5FN,135917,532919.0,183715.0
E1W 2DP,774250,534407.0,180548.0
W5 2AW,1462500,517232.0,181022.0
NW10 7GP,500000,519311.0,182541.0
NW10 7GQ,550000,519311.0,182541.0
